x (m)	y (m)	Intensity
<<<<<<< Updated upstream
.00000	.00000	.00000
.00020	.00000	.00260
.00039	.00000	.00519
.00059	.00000	.00778
.00078	.00000	.06473
.00098	.00000	.02906
.00117	.00000	.00810
.00137	.00000	.00608
.00156	.00000	.00028
.00176	.00000	.00162
.00195	.00000	.00756
.00215	.00000	.00515
.00234	.00000	.01427
.00254	.00000	.02306
.00273	.00000	.00350
.00293	.00000	.03026
.00313	.00000	.06035
.00332	.00000	.03750
.00352	.00000	.06022
.00371	.00000	.01060
.00391	.00000	.02329
.00410	.00000	.05333
.00430	.00000	.04549
.00449	.00000	.05349
.00469	.00000	.05478
.00488	.00000	.05433
.00508	.00000	.05114
.00527	.00000	.06318
.00547	.00000	.05417
.00566	.00000	.06951
.00586	.00000	.07295
.00605	.00000	.05728
.00625	.00000	.05804
.00645	.00000	.07165
.00664	.00000	.06247
.00684	.00000	.06794
.00703	.00000	.07440
.00723	.00000	.07312
.00742	.00000	.06826
.00762	.00000	.06559
.00781	.00000	.06607
.00801	.00000	.07234
.00820	.00000	.07424
.00840	.00000	.08069
.00859	.00000	.06994
.00879	.00000	.06789
.00898	.00000	.07448
.00918	.00000	.06844
.00938	.00000	.06930
.00957	.00000	.07249
.00977	.00000	.06228
.00996	.00000	.06500
.01016	.00000	.06816
.01035	.00000	.06699
.01055	.00000	.06875
.01074	.00000	.05874
.01094	.00000	.06740
.01113	.00000	.06392
.01133	.00000	.05929
.01152	.00000	.06445
.01172	.00000	.05838
.01191	.00000	.05637
.01211	.00000	.05393
.01230	.00000	.05492
.01250	.00000	.05724
.01270	.00000	.03031
.01289	.00000	.02914
.01309	.00000	.01639
.01328	.00000	.06359
.01348	.00000	.05407
.01367	.00000	.06077
.01387	.00000	.00001
.01406	.00000	.00203
.01426	.00000	.04522
.01445	.00000	.02678
.01465	.00000	.00616
.01484	.00000	.01444
.01504	.00000	.05494
.01523	.00000	.00258
.01543	.00000	.05968
.01563	.00000	.02137
.01582	.00000	.03168
.01602	.00000	.04420
.01621	.00000	.00626
.01641	.00000	.00358
.01660	.00000	.00090
.01680	.00000	.00179
.01699	.00000	.00449
.01719	.00000	.00718
.01738	.00000	.00713
.01758	.00000	.00309
.01777	.00000	.02450
.01797	.00000	.01125
.01816	.00000	.00249
.01836	.00000	.03775
.01855	.00000	.05939
.01875	.00000	.00913
.01895	.00000	.05634
.01914	.00000	.02363
.01934	.00000	.06142
.01953	.00000	.03481
.01973	.00000	.06376
.01992	.00000	.05620
.02012	.00000	.05393
.02031	.00000	.04685
.02051	.00000	.05224
.02070	.00000	.05112
.02090	.00000	.05001
.02109	.00000	.05854
.02129	.00000	.05079
.02148	.00000	.06773
.02168	.00000	.05411
.02188	.00000	.06477
.02207	.00000	.06894
.02227	.00000	.06032
.02246	.00000	.06857
.02266	.00000	.07770
.02285	.00000	.06784
.02305	.00000	.06766
.02324	.00000	.06696
.02344	.00000	.07270
.02363	.00000	.07356
.02383	.00000	.07240
.02402	.00000	.08296
.02422	.00000	.06713
.02441	.00000	.07569
.02461	.00000	.07154
.02480	.00000	.07745
.02500	.00000	.06757
.02520	.00000	.07617
.02539	.00000	.08036
.02559	.00000	.08061
.02578	.00000	.06903
.02598	.00000	.06769
.02617	.00000	.08336
.02637	.00000	.07912
.02656	.00000	.07855
.02676	.00000	.07271
.02695	.00000	.07705
.02715	.00000	.06506
.02734	.00000	.07546
.02754	.00000	.07148
.02773	.00000	.07093
.02793	.00000	.07341
.02813	.00000	.06386
.02832	.00000	.06386
.02852	.00000	.05724
.02871	.00000	.05860
.02891	.00000	.05577
.02910	.00000	.05313
.02930	.00000	.06045
.02949	.00000	.05251
.02969	.00000	.04409
.02988	.00000	.04342
.03008	.00000	.01085
.03027	.00000	.00386
.03047	.00000	.05547
.03066	.00000	.00305
.03086	.00000	.01605
.03105	.00000	.00956
.03125	.00000	.00500
.03145	.00000	.01971
.03164	.00000	.04195
.03184	.00000	.05787
.03203	.00000	.04066
.03223	.00000	.00456
.03242	.00000	.06104
.03262	.00000	.03491
.03281	.00000	.00795
.03301	.00000	.00498
.03320	.00000	.00200
.03340	.00000	.00100
.03359	.00000	.00401
.03379	.00000	.00702
.03398	.00000	.06599
.03418	.00000	.03054
.03438	.00000	.04403
.03457	.00000	.04382
.03477	.00000	.05339
.03496	.00000	.00385
.03516	.00000	.04749
.03535	.00000	.02024
.03555	.00000	.02290
.03574	.00000	.06298
.03594	.00000	.05251
.03613	.00000	.02215
.03633	.00000	.05522
.03652	.00000	.05343
.03672	.00000	.05349
.03691	.00000	.05123
.03711	.00000	.05859
.03730	.00000	.06276
.03750	.00000	.05745
.03770	.00000	.06704
.03789	.00000	.06555
.03809	.00000	.06651
.03828	.00000	.06233
.03848	.00000	.06782
.03867	.00000	.07581
.03887	.00000	.06828
.03906	.00000	.07624
.03926	.00000	.07342
.03945	.00000	.08008
.03965	.00000	.09181
.03984	.00000	.08177
.04004	.00000	.08529
.04023	.00000	.07856
.04043	.00000	.07285
.04063	.00000	.07593
.04082	.00000	.08687
.04102	.00000	.08467
.04121	.00000	.09781
.04141	.00000	.08539
.04160	.00000	.08490
.04180	.00000	.07782
.04199	.00000	.09704
.04219	.00000	.08465
.04238	.00000	.08144
.04258	.00000	.08569
.04277	.00000	.08714
.04297	.00000	.08737
.04316	.00000	.09396
.04336	.00000	.09047
.04355	.00000	.07689
.04375	.00000	.08841
.04395	.00000	.07824
.04414	.00000	.07438
.04434	.00000	.08413
.04453	.00000	.08057
.04473	.00000	.07825
.04492	.00000	.08508
.04512	.00000	.07270
.04531	.00000	.07895
.04551	.00000	.06340
.04570	.00000	.07111
.04590	.00000	.06307
.04609	.00000	.06252
.04629	.00000	.06389
.04648	.00000	.05627
.04668	.00000	.05659
.04688	.00000	.04934
.04707	.00000	.05513
.04727	.00000	.05633
.04746	.00000	.04339
.04766	.00000	.05025
.04785	.00000	.02214
.04805	.00000	.06667
.04824	.00000	.00836
.04844	.00000	.04412
.04863	.00000	.06011
.04883	.00000	.02719
.04902	.00000	.03218
.04922	.00000	.00214
.04941	.00000	.04106
.04961	.00000	.00730
.04980	.00000	.00366
.05000	.00000	.00000
.05020	.00000	.00368
.05039	.00000	.00739
.05059	.00000	.00513
.05078	.00000	.04896
.05098	.00000	.02324
.05117	.00000	.06389
.05137	.00000	.01981
.05156	.00000	.03824
.05176	.00000	.01474
.05195	.00000	.00456
.05215	.00000	.01917
.05234	.00000	.02423
.05254	.00000	.04764
.05273	.00000	.05851
.05293	.00000	.05459
.05313	.00000	.05535
.05332	.00000	.05596
.05352	.00000	.06569
.05371	.00000	.06755
.05391	.00000	.06496
.05410	.00000	.08035
.05430	.00000	.08367
.05449	.00000	.07460
.05469	.00000	.07644
.05488	.00000	.07831
.05508	.00000	.08983
.05527	.00000	.09736
.05547	.00000	.09445
.05566	.00000	.10536
.05586	.00000	.11228
.05605	.00000	.10957
.05625	.00000	.10223
.05645	.00000	.10102
.05664	.00000	.10248
.05684	.00000	.12061
.05703	.00000	.12329
.05723	.00000	.11506
.05742	.00000	.12446
.05762	.00000	.12632
.05781	.00000	.11013
.05801	.00000	.10113
.05820	.00000	.12929
.05840	.00000	.10078
.05859	.00000	.11181
.05879	.00000	.11621
.05898	.00000	.12095
.05918	.00000	.10370
.05938	.00000	.10683
.05957	.00000	.12569
.05977	.00000	.11692
.05996	.00000	.11619
.06016	.00000	.12495
.06035	.00000	.11687
.06055	.00000	.10302
.06074	.00000	.09783
.06094	.00000	.09731
.06113	.00000	.09469
.06133	.00000	.10435
.06152	.00000	.09320
.06172	.00000	.09421
.06191	.00000	.09056
.06211	.00000	.09678
.06230	.00000	.08568
.06250	.00000	.08093
.06270	.00000	.08935
.06289	.00000	.09226
.06309	.00000	.08344
.06328	.00000	.08659
.06348	.00000	.08051
.06367	.00000	.07010
.06387	.00000	.07047
.06406	.00000	.05731
.06426	.00000	.06500
.06445	.00000	.05837
.06465	.00000	.05205
.06484	.00000	.00872
.06504	.00000	.00854
.06523	.00000	.00185
.06543	.00000	.03520
.06563	.00000	.05522
.06582	.00000	.04751
.06602	.00000	.00873
.06621	.00000	.06142
.06641	.00000	.00688
.06660	.00000	.00173
.06680	.00000	.00348
.06699	.00000	.00873
.06719	.00000	.00745
.06738	.00000	.00663
.06758	.00000	.05253
.06777	.00000	.00203
.06797	.00000	.04857
.06816	.00000	.05036
.06836	.00000	.04793
.06855	.00000	.05052
.06875	.00000	.06072
.06895	.00000	.06872
.06914	.00000	.06875
.06934	.00000	.07501
.06953	.00000	.07542
.06973	.00000	.08346
.06992	.00000	.08802
.07012	.00000	.09704
.07031	.00000	.09012
.07051	.00000	.11516
.07070	.00000	.11889
.07090	.00000	.11168
.07109	.00000	.13459
.07129	.00000	.13125
.07148	.00000	.14106
.07168	.00000	.13538
.07188	.00000	.13665
.07207	.00000	.15317
.07227	.00000	.15912
.07246	.00000	.16534
.07266	.00000	.15209
.07285	.00000	.16666
.07305	.00000	.15534
.07324	.00000	.17947
.07344	.00000	.17054
.07363	.00000	.17485
.07383	.00000	.17695
.07402	.00000	.16926
.07422	.00000	.19148
.07441	.00000	.15513
.07461	.00000	.18971
.07480	.00000	.17535
.07500	.00000	.17457
.07520	.00000	.17357
.07539	.00000	.19478
.07559	.00000	.18752
.07578	.00000	.18528
.07598	.00000	.17989
.07617	.00000	.17217
.07637	.00000	.16683
.07656	.00000	.17661
.07676	.00000	.18997
.07695	.00000	.18249
.07715	.00000	.16045
.07734	.00000	.18215
.07754	.00000	.17248
.07773	.00000	.17503
.07793	.00000	.16797
.07813	.00000	.16774
.07832	.00000	.14556
.07852	.00000	.17584
.07871	.00000	.17026
.07891	.00000	.16670
.07910	.00000	.16540
.07930	.00000	.14610
.07949	.00000	.14617
.07969	.00000	.13094
.07988	.00000	.12681
.08008	.00000	.13233
.08027	.00000	.12509
.08047	.00000	.11801
.08066	.00000	.12304
.08086	.00000	.10343
.08105	.00000	.11406
.08125	.00000	.08673
.08145	.00000	.08019
.08164	.00000	.07512
.08184	.00000	.06277
.08203	.00000	.06567
.08223	.00000	.04504
.08242	.00000	.05494
.08262	.00000	.04129
.08281	.00000	.02466
.08301	.00000	.05366
.08320	.00000	.00665
.08340	.00000	.00336
.08359	.00000	.05392
.08379	.00000	.05291
.08398	.00000	.00126
.08418	.00000	.02358
.08438	.00000	.06039
.08457	.00000	.07879
.08477	.00000	.08329
.08496	.00000	.09192
.08516	.00000	.09616
.08535	.00000	.11495
.08555	.00000	.13452
.08574	.00000	.14934
.08594	.00000	.15555
.08613	.00000	.17361
.08633	.00000	.18765
.08652	.00000	.20373
.08672	.00000	.20037
.08691	.00000	.20418
.08711	.00000	.22042
.08730	.00000	.24216
.08750	.00000	.24495
.08770	.00000	.25435
.08789	.00000	.32127
.08809	.00000	.26126
.08828	.00000	.28897
.08848	.00000	.34047
.08867	.00000	.31718
.08887	.00000	.35500
.08906	.00000	.35049
.08926	.00000	.34017
.08945	.00000	.40060
.08965	.00000	.40429
.08984	.00000	.39661
.09004	.00000	.41857
.09023	.00000	.45193
.09043	.00000	.41291
.09063	.00000	.46463
.09082	.00000	.49555
.09102	.00000	.51945
.09121	.00000	.46333
.09141	.00000	.50786
.09160	.00000	.48473
.09180	.00000	.50611
.09199	.00000	.56131
.09219	.00000	.59380
.09238	.00000	.62684
.09258	.00000	.59819
.09277	.00000	.67727
.09297	.00000	.56676
.09316	.00000	.66436
.09336	.00000	.60697
.09355	.00000	.61726
.09375	.00000	.72741
.09395	.00000	.66999
.09414	.00000	.68885
.09434	.00000	.64650
.09453	.00000	.77810
.09473	.00000	.64036
.09492	.00000	.71094
.09512	.00000	.74209
.09531	.00000	.71202
.09551	.00000	.70644
.09570	.00000	.76003
.09590	.00000	.70491
.09609	.00000	.80274
.09629	.00000	.80647
.09648	.00000	.70112
.09668	.00000	.81601
.09688	.00000	.82113
.09707	.00000	.85366
.09727	.00000	.79833
.09746	.00000	.81499
.09766	.00000	.75751
.09785	.00000	.77910
.09805	.00000	.81226
.09824	.00000	.79088
.09844	.00000	.90341
.09863	.00000	.81356
.09883	.00000	.81701
.09902	.00000	.75656
.09922	.00000	.86499
.09941	.00000	.87009
.09961	.00000	.82640
.09980	.00000	.77592
.10000	.00000	.83276
.10020	.00000	.88399
.10039	.00000	.85653
.10059	.00000	.80154
.10078	.00000	.77058
.10098	.00000	.78885
.10117	.00000	.78960
.10137	.00000	.84118
.10156	.00000	.86070
.10176	.00000	.82910
.10195	.00000	.86630
.10215	.00000	.82824
.10234	.00000	.78667
.10254	.00000	.72333
.10273	.00000	.72482
.10293	.00000	.79333
.10313	.00000	.81154
.10332	.00000	.79690
.10352	.00000	.73327
.10371	.00000	.74038
.10391	.00000	.77716
.10410	.00000	.78967
.10430	.00000	.72379
.10449	.00000	.81489
.10469	.00000	.74764
.10488	.00000	.70520
.10508	.00000	.69058
.10527	.00000	.66327
.10547	.00000	.69895
.10566	.00000	.65118
.10586	.00000	.69710
.10605	.00000	.63466
.10625	.00000	.65455
.10645	.00000	.63765
.10664	.00000	.65869
.10684	.00000	.62012
.10703	.00000	.58231
.10723	.00000	.60491
.10742	.00000	.64798
.10762	.00000	.54641
.10781	.00000	.56587
.10801	.00000	.55883
.10820	.00000	.53328
.10840	.00000	.52996
.10859	.00000	.56621
.10879	.00000	.58212
.10898	.00000	.49496
.10918	.00000	.48482
.10938	.00000	.45595
.10957	.00000	.46468
.10977	.00000	.48211
.10996	.00000	.41042
.11016	.00000	.37624
.11035	.00000	.37597
.11055	.00000	.42658
.11074	.00000	.37373
.11094	.00000	.36498
.11113	.00000	.37595
.11133	.00000	.32373
.11152	.00000	.31336
.11172	.00000	.32169
.11191	.00000	.28144
.11211	.00000	.27737
.11230	.00000	.27176
.11250	.00000	.26313
.11270	.00000	.23963
.11289	.00000	.21863
.11309	.00000	.22005
.11328	.00000	.20227
.11348	.00000	.22337
.11367	.00000	.17416
.11387	.00000	.17100
.11406	.00000	.14571
.11426	.00000	.12440
.11445	.00000	.13193
.11465	.00000	.11264
.11484	.00000	.10851
.11504	.00000	.08894
.11523	.00000	.07795
.11543	.00000	.06829
.11563	.00000	.05583
.11582	.00000	.04677
.11602	.00000	.02878
.11621	.00000	.05090
.11641	.00000	.03748
.11660	.00000	.00344
.11680	.00000	.00681
.11699	.00000	.00704
.11719	.00000	.02482
.11738	.00000	.05094
.11758	.00000	.05290
.11777	.00000	.06092
.11797	.00000	.06844
.11816	.00000	.07562
.11836	.00000	.08433
.11855	.00000	.09096
.11875	.00000	.09694
.11895	.00000	.09565
.11914	.00000	.10555
.11934	.00000	.10125
.11953	.00000	.11973
.11973	.00000	.12520
.11992	.00000	.13438
.12012	.00000	.13962
.12031	.00000	.13684
.12051	.00000	.16051
.12070	.00000	.15137
.12090	.00000	.16380
.12109	.00000	.17994
.12129	.00000	.16659
.12148	.00000	.16133
.12168	.00000	.18193
.12188	.00000	.17577
.12207	.00000	.19143
.12227	.00000	.18594
.12246	.00000	.18051
.12266	.00000	.18662
.12285	.00000	.21508
.12305	.00000	.20319
.12324	.00000	.21391
.12344	.00000	.19138
.12363	.00000	.17494
.12383	.00000	.20422
.12402	.00000	.16931
.12422	.00000	.20855
.12441	.00000	.21210
.12461	.00000	.20916
.12480	.00000	.17134
.12500	.00000	.19387
.12520	.00000	.19151
.12539	.00000	.19561
.12559	.00000	.19851
.12578	.00000	.18811
.12598	.00000	.20887
.12617	.00000	.19088
.12637	.00000	.15770
.12656	.00000	.17365
.12676	.00000	.17822
.12695	.00000	.16523
.12715	.00000	.16896
.12734	.00000	.16196
.12754	.00000	.15261
.12773	.00000	.16206
.12793	.00000	.17048
.12813	.00000	.15250
.12832	.00000	.15562
.12852	.00000	.15803
.12871	.00000	.13478
.12891	.00000	.13276
.12910	.00000	.11382
.12930	.00000	.12853
.12949	.00000	.11739
.12969	.00000	.11192
.12988	.00000	.09889
.13008	.00000	.09743
.13027	.00000	.09256
.13047	.00000	.09221
.13066	.00000	.07819
.13086	.00000	.07097
.13105	.00000	.06562
.13125	.00000	.05712
.13145	.00000	.05661
.13164	.00000	.05520
.13184	.00000	.01099
.13203	.00000	.04941
.13223	.00000	.05062
.13242	.00000	.00365
.13262	.00000	.05756
.13281	.00000	.05401
.13301	.00000	.01468
.13320	.00000	.00396
.13340	.00000	.00197
.13359	.00000	.00787
.13379	.00000	.05413
.13398	.00000	.06378
.13418	.00000	.02648
.13438	.00000	.02519
.13457	.00000	.03712
.13477	.00000	.01403
.13496	.00000	.04887
.13516	.00000	.05300
.13535	.00000	.05900
.13555	.00000	.06353
.13574	.00000	.06726
.13594	.00000	.06772
.13613	.00000	.07868
.13633	.00000	.08537
.13652	.00000	.08705
.13672	.00000	.09698
.13691	.00000	.09469
.13711	.00000	.09723
.13730	.00000	.10695
.13750	.00000	.12273
.13770	.00000	.12374
.13789	.00000	.12397
.13809	.00000	.11847
.13828	.00000	.12219
.13848	.00000	.12594
.13867	.00000	.13822
.13887	.00000	.13594
.13906	.00000	.13086
.13926	.00000	.13719
.13945	.00000	.14416
.13965	.00000	.13993
.13984	.00000	.14090
.14004	.00000	.14913
.14023	.00000	.16982
.14043	.00000	.13572
.14063	.00000	.16517
.14082	.00000	.16560
.14102	.00000	.14174
.14121	.00000	.16022
.14141	.00000	.14208
.14160	.00000	.14780
.14180	.00000	.15360
.14199	.00000	.15160
.14219	.00000	.15119
.14238	.00000	.16847
.14258	.00000	.14423
.14277	.00000	.15053
.14297	.00000	.16504
.14316	.00000	.14862
.14336	.00000	.15834
.14355	.00000	.13472
.14375	.00000	.14028
.14395	.00000	.13807
.14414	.00000	.15202
.14434	.00000	.14580
.14453	.00000	.11916
.14473	.00000	.14095
.14492	.00000	.12107
.14512	.00000	.12900
.14531	.00000	.10942
.14551	.00000	.13164
.14570	.00000	.10497
.14590	.00000	.11245
.14609	.00000	.10901
.14629	.00000	.10345
.14648	.00000	.11008
.14668	.00000	.08726
.14688	.00000	.09840
.14707	.00000	.08390
.14727	.00000	.08386
.14746	.00000	.07680
.14766	.00000	.07015
.14785	.00000	.06767
.14805	.00000	.06917
.14824	.00000	.05626
.14844	.00000	.05142
.14863	.00000	.05478
.14883	.00000	.03961
.14902	.00000	.05552
.14922	.00000	.04105
.14941	.00000	.06534
.14961	.00000	.04303
.14980	.00000	.00650
.15000	.00000	.00000
.15020	.00000	.00657
.15039	.00000	.00514
.15059	.00000	.02155
.15078	.00000	.01245
.15098	.00000	.03746
.15117	.00000	.00877
.15137	.00000	.06021
.15156	.00000	.05683
.15176	.00000	.05608
.15195	.00000	.06647
.15215	.00000	.07170
.15234	.00000	.08506
.15254	.00000	.09192
.15273	.00000	.09797
.15293	.00000	.09787
.15313	.00000	.11473
.15332	.00000	.12767
.15352	.00000	.11187
.15371	.00000	.11363
.15391	.00000	.15088
